"","year","fips","noncit_pop","moe"
"193",2011,"55001",333,97
"194",2012,"55001",352,89
"195",2013,"55001",374,96
"196",2014,"55001",309,99
"197",2015,"55001",287,90
"198",2016,"55001",249,76
"199",2017,"55001",274,83
"200",2018,"55001",241,74
"201",2009,"50001",736,148
"202",2010,"50001",821,165
"203",2011,"50001",837,156
"204",2012,"50001",725,111
"205",2013,"50001",811,132
"206",2014,"50001",813,138
"207",2015,"50001",740,123
"208",2016,"50001",752,130
"209",2017,"50001",750,124
"210",2018,"50001",858,129
"211",2009,"72001",NA,NA
"212",2010,"72001",NA,NA
"213",2011,"72001",NA,NA
"214",2012,"72001",NA,NA
"215",2013,"72001",NA,NA
"216",2014,"72001",NA,NA
"217",2015,"72001",NA,NA
"218",2016,"72001",NA,NA
"219",2017,"72001",NA,NA
"220",2018,"72001",NA,NA
"221",2009,"72003",NA,NA
"222",2010,"72003",NA,NA
"223",2011,"72003",NA,NA
"224",2012,"72003",NA,NA
"225",2013,"72003",NA,NA
"226",2014,"72003",NA,NA
"227",2015,"72003",NA,NA
"228",2016,"72003",NA,NA
"229",2017,"72003",NA,NA
"230",2018,"72003",NA,NA
"231",2009,"72005",NA,NA
"232",2010,"72005",NA,NA
"233",2011,"72005",NA,NA
"234",2012,"72005",NA,NA
"235",2013,"72005",NA,NA
"236",2014,"72005",NA,NA
"237",2015,"72005",NA,NA
"238",2016,"72005",NA,NA
"239",2017,"72005",NA,NA
"240",2018,"72005",NA,NA
"241",2009,"72007",NA,NA
"242",2010,"72007",NA,NA
"243",2011,"72007",NA,NA
"244",2012,"72007",NA,NA
"245",2013,"72007",NA,NA
"246",2014,"72007",NA,NA
"247",2015,"72007",NA,NA
"248",2016,"72007",NA,NA
"249",2017,"72007",NA,NA
"250",2018,"72007",NA,NA
"251",2009,"72009",NA,NA
"252",2010,"72009",NA,NA
"253",2011,"72009",NA,NA
"254",2012,"72009",NA,NA
"255",2013,"72009",NA,NA
"256",2014,"72009",NA,NA
"257",2015,"72009",NA,NA
"258",2016,"72009",NA,NA
"259",2017,"72009",NA,NA
"260",2018,"72009",NA,NA
"261",2009,"45003",2813,414
"262",2010,"45003",3811,583
"263",2011,"45003",3102,523
"264",2012,"45003",3607,643
"265",2013,"45003",3348,533
"266",2014,"45003",3420,593
"267",2015,"45003",3849,527
"268",2016,"45003",4856,685
"269",2017,"45003",4942,644
"270",2018,"45003",5296,621
"271",2009,"27001",63,29
"272",2010,"27001",67,27
"273",2011,"27001",58,29
"274",2012,"27001",75,39
"275",2013,"27001",50,32
"276",2014,"27001",51,21
"277",2015,"27001",52,20
"278",2016,"27001",57,22
"279",2017,"27001",51,22
"280",2018,"27001",58,25
"281",2009,"12001",13343,1084
"282",2010,"12001",13679,1068
"283",2011,"12001",14853,967
"284",2012,"12001",14377,1307
"285",2013,"12001",14620,1111
"286",2014,"12001",13595,1109
"287",2015,"12001",13972,1259
"288",2016,"12001",13457,1075
"289",2017,"12001",13471,1109
"290",2018,"12001",13646,1158
"291",2009,"37001",8947,720
"292",2010,"37001",8296,639
"293",2011,"37001",7997,590
"294",2012,"37001",7956,564
"295",2013,"37001",8617,712
"296",2014,"37001",8575,518
"297",2015,"37001",8582,597
"298",2016,"37001",8836,574
"299",2017,"37001",9054,562
"300",2018,"37001",8829,607
"301",2009,"06001",216898,3994
"302",2010,"06001",222497,4145
"303",2011,"06001",224047,4209
"304",2012,"06001",221299,4121
"305",2013,"06001",225098,3957
"306",2014,"06001",230296,4928
"307",2015,"06001",233980,3668
"308",2016,"06001",238661,4306
"309",2017,"06001",247603,4589
"310",2018,"06001",248474,4422
"311",2009,"08003",755,303
"312",2010,"08003",682,265
"313",2011,"08003",740,235
"314",2012,"08003",628,230
"315",2013,"08003",871,285
"316",2014,"08003",934,291
"317",2015,"08003",937,326
"318",2016,"08003",1101,362
"319",2017,"08003",1231,299
"320",2018,"08003",885,241
"321",2009,"36001",10898,820
"322",2010,"36001",12881,912
"323",2011,"36001",12559,879
"324",2012,"36001",12669,871
"325",2013,"36001",13321,1058
"326",2014,"36001",12117,876
"327",2015,"36001",11951,1006
"328",2016,"36001",13011,850
"329",2017,"36001",13640,1188
"330",2018,"36001",14198,1192
"331",2009,"56001",1244,338
"332",2010,"56001",1317,328
"333",2011,"56001",1292,349
"334",2012,"56001",1183,305
"335",2013,"56001",1214,230
"336",2014,"56001",1343,284
"337",2015,"56001",1488,292
"338",2016,"56001",1576,263
"339",2017,"56001",1791,349
"340",2018,"56001",1850,377
"341",2009,"51003",4755,623
"342",2010,"51003",5430,647
"343",2011,"51003",5363,618
"344",2012,"51003",5977,652
"345",2013,"51003",5843,620
"346",2014,"51003",5880,706
"347",2015,"51003",5910,605
"348",2016,"51003",5708,626
"349",2017,"51003",5845,612
"350",2018,"51003",6415,559
"351",2009,"26001",54,22
"352",2010,"26001",50,27
"353",2011,"26001",45,28
"354",2012,"26001",52,21
"355",2013,"26001",49,23
"356",2014,"26001",54,23
"357",2015,"26001",53,14
"358",2016,"26001",66,24
"359",2017,"26001",71,27
"360",2018,"26001",51,27
"361",2009,"28003",357,144
"362",2010,"28003",310,261
"363",2011,"28003",338,192
"364",2012,"28003",340,206
"365",2013,"28003",327,170
"366",2014,"28003",453,118
"367",2015,"28003",418,128
"368",2016,"28003",502,135
"369",2017,"28003",427,144
"370",2018,"28003",435,176
"371",2009,"02013",1519,425
"372",2010,"02013",2185,616
"373",2011,"02013",1625,357
"374",2012,"02013",1426,324
"375",2013,"02013",1322,243
"376",2014,"02013",1219,264
"377",2015,"02013",1026,205
"378",2016,"02013",926,200
"379",2017,"02013",835,216
"380",2018,"02013",815,165
"381",2009,"02016",1866,582
"382",2010,"02016",2561,800
"383",2011,"02016",1148,290
"384",2012,"02016",1122,181
"385",2013,"02016",1134,144
"386",2014,"02016",1067,143
