"","year","fips","noncit_pop","moe"
"9935",2018,"25011",1942,364
"9936",2009,"28037",0,127
"9937",2010,"28037",0,127
"9938",2011,"28037",1,3
"9939",2012,"28037",0,17
"9940",2013,"28037",0,17
"9941",2014,"28037",0,17
"9942",2015,"28037",0,17
"9943",2016,"28037",10,12
"9944",2017,"28037",12,14
"9945",2018,"28037",12,13
"9946",2009,"29071",387,149
"9947",2010,"29071",498,172
"9948",2011,"29071",569,173
"9949",2012,"29071",567,183
"9950",2013,"29071",608,160
"9951",2014,"29071",710,197
"9952",2015,"29071",768,209
"9953",2016,"29071",702,218
"9954",2017,"29071",600,183
"9955",2018,"29071",501,183
"9956",2009,"31061",11,11
"9957",2010,"31061",12,12
"9958",2011,"31061",18,10
"9959",2012,"31061",19,12
"9960",2013,"31061",19,11
"9961",2014,"31061",29,14
"9962",2015,"31061",23,14
"9963",2016,"31061",17,14
"9964",2017,"31061",22,18
"9965",2018,"31061",30,24
"9966",2009,"36033",1358,257
"9967",2010,"36033",1434,276
"9968",2011,"36033",1251,236
"9969",2012,"36033",1205,183
"9970",2013,"36033",1020,172
"9971",2014,"36033",984,203
"9972",2015,"36033",931,168
"9973",2016,"36033",893,171
"9974",2017,"36033",936,167
"9975",2018,"36033",864,146
"9976",2009,"37069",1943,238
"9977",2010,"37069",2089,260
"9978",2011,"37069",2233,294
"9979",2012,"37069",2161,353
"9980",2013,"37069",2158,314
"9981",2014,"37069",2097,356
"9982",2015,"37069",2139,390
"9983",2016,"37069",2260,319
"9984",2017,"37069",2477,330
"9985",2018,"37069",2390,333
"9986",2009,"39049",61246,1973
"9987",2010,"39049",65291,2348
"9988",2011,"39049",65314,2240
"9989",2012,"39049",65278,2369
"9990",2013,"39049",67522,2771
"9991",2014,"39049",68277,2511
"9992",2015,"39049",69914,2236
"9993",2016,"39049",70520,2514
"9994",2017,"39049",72300,2750
"9995",2018,"39049",74749,2572
"9996",2009,"42055",2664,504
"9997",2010,"42055",2672,459
"9998",2011,"42055",2905,413
"9999",2012,"42055",3151,376
"10000",2013,"42055",3175,410
"10001",2014,"42055",3282,516
"10002",2015,"42055",3172,525
"10003",2016,"42055",2883,585
"10004",2017,"42055",2767,537
"10005",2018,"42055",3247,525
"10006",2009,"47051",628,123
"10007",2010,"47051",509,114
"10008",2011,"47051",506,85
"10009",2012,"47051",456,108
"10010",2013,"47051",407,107
"10011",2014,"47051",507,169
"10012",2015,"47051",627,234
"10013",2016,"47051",560,250
"10014",2017,"47051",635,221
"10015",2018,"47051",638,241
"10016",2009,"48159",571,259
"10017",2010,"48159",542,203
"10018",2011,"48159",595,165
"10019",2012,"48159",506,169
"10020",2013,"48159",532,147
"10021",2014,"48159",507,139
"10022",2015,"48159",439,169
"10023",2016,"48159",534,159
"10024",2017,"48159",628,199
"10025",2018,"48159",545,183
"10026",2009,"50011",504,184
"10027",2010,"50011",637,203
"10028",2011,"50011",559,188
"10029",2012,"50011",545,163
"10030",2013,"50011",420,94
"10031",2014,"50011",469,114
"10032",2015,"50011",435,133
"10033",2016,"50011",500,166
"10034",2017,"50011",511,135
"10035",2018,"50011",570,159
"10036",2009,"51067",886,176
"10037",2010,"51067",1059,237
"10038",2011,"51067",1003,254
"10039",2012,"51067",901,161
"10040",2013,"51067",813,196
"10041",2014,"51067",856,225
"10042",2015,"51067",867,203
"10043",2016,"51067",799,191
"10044",2017,"51067",655,187
"10045",2018,"51067",694,177
"10046",2009,"53021",14074,1000
"10047",2010,"53021",15141,982
"10048",2011,"53021",15601,1042
"10049",2012,"53021",15126,1098
"10050",2013,"53021",15186,1026
"10051",2014,"53021",15407,1187
"10052",2015,"53021",15089,1232
"10053",2016,"53021",14929,1160
"10054",2017,"53021",15314,912
"10055",2018,"53021",15134,972
"10056",2009,"22041",2,4
"10057",2010,"22041",3,4
"10058",2011,"22041",2,4
"10059",2012,"22041",32,44
"10060",2013,"22041",17,19
"10061",2014,"22041",19,17
"10062",2015,"22041",20,20
"10063",2016,"22041",29,34
"10064",2017,"22041",40,51
"10065",2018,"22041",60,68
"10066",2009,"51620",63,54
"10067",2010,"51620",103,72
"10068",2011,"51620",112,62
"10069",2012,"51620",108,74
"10070",2013,"51620",136,108
"10071",2014,"51620",159,112
"10072",2015,"51620",100,89
"10073",2016,"51620",100,89
"10074",2017,"51620",40,46
"10075",2018,"51620",41,52
"10076",2009,"24021",10312,982
"10077",2010,"24021",11317,1053
"10078",2011,"24021",12078,974
"10079",2012,"24021",12324,1048
"10080",2013,"24021",12430,1040
"10081",2014,"24021",13230,1050
"10082",2015,"24021",12677,1091
"10083",2016,"24021",12034,873
"10084",2017,"24021",12252,947
"10085",2018,"24021",12821,1207
"10086",2009,"51069",2022,271
"10087",2010,"51069",2791,343
"10088",2011,"51069",2460,380
"10089",2012,"51069",2658,408
"10090",2013,"51069",2513,453
"10091",2014,"51069",2774,407
"10092",2015,"51069",2443,422
"10093",2016,"51069",2795,332
"10094",2017,"51069",3014,400
"10095",2018,"51069",3169,356
"10096",2009,"51630",1162,325
"10097",2010,"51630",1311,329
"10098",2011,"51630",1312,314
"10099",2012,"51630",1443,360
"10100",2013,"51630",1554,406
"10101",2014,"51630",1307,303
"10102",2015,"51630",1259,298
"10103",2016,"51630",1311,432
"10104",2017,"51630",1353,469
"10105",2018,"51630",1458,404
"10106",2009,"27047",873,204
"10107",2010,"27047",622,221
"10108",2011,"27047",664,199
"10109",2012,"27047",464,193
"10110",2013,"27047",513,215
"10111",2014,"27047",650,132
"10112",2015,"27047",777,220
"10113",2016,"27047",805,172
"10114",2017,"27047",1114,205
"10115",2018,"27047",1118,215
"10116",2009,"48161",670,255
"10117",2010,"48161",797,278
"10118",2011,"48161",837,272
"10119",2012,"48161",1141,244
"10120",2013,"48161",1089,211
"10121",2014,"48161",1157,234
"10122",2015,"48161",1163,251
"10123",2016,"48161",1044,223
"10124",2017,"48161",928,206
"10125",2018,"48161",956,240
"10126",2009,"08043",1550,387
"10127",2010,"08043",1843,496
"10128",2011,"08043",1574,274
"10129",2012,"08043",1531,244
"10130",2013,"08043",1352,228
"10131",2014,"08043",1552,303
"10132",2015,"08043",919,264
"10133",2016,"08043",721,201
"10134",2017,"08043",756,215
"10135",2018,"08043",715,227
"10136",2009,"16043",729,140
"10137",2010,"16043",735,149
"10138",2011,"16043",660,170
"10139",2012,"16043",666,139
"10140",2013,"16043",659,119
"10141",2014,"16043",608,100
"10142",2015,"16043",472,88
"10143",2016,"16043",493,97
"10144",2017,"16043",426,114
"10145",2018,"16043",490,146
"10146",2009,"19071",54,35
"10147",2010,"19071",53,30
"10148",2011,"19071",43,32
"10149",2012,"19071",17,12
"10150",2013,"19071",32,19
"10151",2014,"19071",32,18
"10152",2015,"19071",27,19
"10153",2016,"19071",41,28
"10154",2017,"19071",67,32
"10155",2018,"19071",61,35
"10156",2009,"56013",315,138
"10157",2010,"56013",309,204
"10158",2011,"56013",305,168
"10159",2012,"56013",277,149
"10160",2013,"56013",324,139
"10161",2014,"56013",250,110
"10162",2015,"56013",300,95
"10163",2016,"56013",277,98
"10164",2017,"56013",261,83
"10165",2018,"56013",209,90
"10166",2009,"06019",129453,3155
"10167",2010,"06019",133021,3319
"10168",2011,"06019",136608,3736
"10169",2012,"06019",136359,3139
"10170",2013,"06019",133952,2979
"10171",2014,"06019",131496,2610
"10172",2015,"06019",128740,2889
"10173",2016,"06019",127743,2878
"10174",2017,"06019",125064,2945
"10175",2018,"06019",126217,3278
"10176",2009,"48163",783,207
"10177",2010,"48163",784,224
"10178",2011,"48163",1094,322
"10179",2012,"48163",1333,289
"10180",2013,"48163",1405,284
"10181",2014,"48163",1730,351
"10182",2015,"48163",1961,301
"10183",2016,"48163",1698,275
"10184",2017,"48163",2117,522
"10185",2018,"48163",2325,437
"10186",2009,"31063",12,11
"10187",2010,"31063",12,11
"10188",2011,"31063",6,7
"10189",2012,"31063",11,10
"10190",2013,"31063",11,10
"10191",2014,"31063",9,7
"10192",2015,"31063",10,7
"10193",2016,"31063",15,11
"10194",2017,"31063",19,12
"10195",2018,"31063",15,10
"10196",2009,"05049",30,47
"10197",2010,"05049",27,46
"10198",2011,"05049",97,109
"10199",2012,"05049",75,82
"10200",2013,"05049",74,65
"10201",2014,"05049",48,41
"10202",2015,"05049",80,50
"10203",2016,"05049",83,60
"10204",2017,"05049",94,71
"10205",2018,"05049",85,65
"10206",2009,"13121",82668,2643
"10207",2010,"13121",78432,2536
"10208",2011,"13121",76679,2485
"10209",2012,"13121",78593,2845
"10210",2013,"13121",77689,3219
"10211",2014,"13121",75120,2721
"10212",2015,"13121",73078,3298
"10213",2016,"13121",75784,2991
"10214",2017,"13121",76760,3085
"10215",2018,"13121",76969,2598
"10216",2009,"17057",611,133
"10217",2010,"17057",662,155
"10218",2011,"17057",690,195
"10219",2012,"17057",556,143
"10220",2013,"17057",420,94
"10221",2014,"17057",425,114
"10222",2015,"17057",583,143
"10223",2016,"17057",568,167
"10224",2017,"17057",507,190
"10225",2018,"17057",471,197
"10226",2009,"18049",271,114
"10227",2010,"18049",272,92
"10228",2011,"18049",399,146
"10229",2012,"18049",451,153
"10230",2013,"18049",498,169
"10231",2014,"18049",375,108
"10232",2015,"18049",404,94
"10233",2016,"18049",391,92
"10234",2017,"18049",374,96
"10235",2018,"18049",410,72
"10236",2009,"21075",30,46
"10237",2010,"21075",24,38
"10238",2011,"21075",36,48
"10239",2012,"21075",50,38
"10240",2013,"21075",45,43
"10241",2014,"21075",27,29
"10242",2015,"21075",35,33
"10243",2016,"21075",39,34
"10244",2017,"21075",58,54
"10245",2018,"21075",50,49
"10246",2009,"36035",343,118
"10247",2010,"36035",229,88
"10248",2011,"36035",311,121
"10249",2012,"36035",437,119
"10250",2013,"36035",466,126
"10251",2014,"36035",449,121
"10252",2015,"36035",534,180
"10253",2016,"36035",416,131
"10254",2017,"36035",363,121
"10255",2018,"36035",278,106
"10256",2009,"39051",609,213
"10257",2010,"39051",442,160
"10258",2011,"39051",430,169
"10259",2012,"39051",471,172
"10260",2013,"39051",356,123
"10261",2014,"39051",226,110
"10262",2015,"39051",309,167
"10263",2016,"39051",327,165
"10264",2017,"39051",361,174
"10265",2018,"39051",356,216
"10266",2009,"42057",69,51
"10267",2010,"42057",68,45
"10268",2011,"42057",77,41
"10269",2012,"42057",39,25
"10270",2013,"42057",31,20
"10271",2014,"42057",55,36
"10272",2015,"42057",46,33
"10273",2016,"42057",25,22
"10274",2017,"42057",31,26
"10275",2018,"42057",46,29
"10276",2009,"31065",35,22
"10277",2010,"31065",45,37
"10278",2011,"31065",39,33
"10279",2012,"31065",43,33
"10280",2013,"31065",26,29
"10281",2014,"31065",0,9
"10282",2015,"31065",1,4
"10283",2016,"31065",22,25
"10284",2017,"31065",47,26
"10285",2018,"31065",44,23
"10286",2009,"12039",2296,510
"10287",2010,"12039",1878,269
"10288",2011,"12039",2115,388
"10289",2012,"12039",2088,414
"10290",2013,"12039",2022,392
"10291",2014,"12039",1770,350
"10292",2015,"12039",1951,329
"10293",2016,"12039",1542,241
"10294",2017,"12039",1674,343
"10295",2018,"12039",1747,316
"10296",2009,"31067",122,55
"10297",2010,"31067",85,43
"10298",2011,"31067",92,49
"10299",2012,"31067",82,41
"10300",2013,"31067",87,51
"10301",2014,"31067",68,53
"10302",2015,"31067",61,53
"10303",2016,"31067",56,42
"10304",2017,"31067",138,73
"10305",2018,"31067",174,83
"10306",2009,"48165",1699,429
"10307",2010,"48165",2204,504
"10308",2011,"48165",2543,565
"10309",2012,"48165",2708,618
"10310",2013,"48165",2120,402
"10311",2014,"48165",3011,628
"10312",2015,"48165",3009,561
"10313",2016,"48165",2879,529
"10314",2017,"48165",3327,529
"10315",2018,"48165",3600,687
"10316",2009,"51640",293,175
"10317",2010,"51640",418,205
"10318",2011,"51640",347,194
"10319",2012,"51640",423,201
"10320",2013,"51640",429,210
"10321",2014,"51640",609,276
"10322",2015,"51640",612,228
"10323",2016,"51640",646,278
"10324",2017,"51640",491,259
"10325",2018,"51640",549,208
"10326",2009,"17059",24,43
"10327",2010,"17059",9,14
"10328",2011,"17059",11,17
"10329",2012,"17059",1,2
"10330",2013,"17059",1,3
"10331",2014,"17059",0,15
"10332",2015,"17059",0,15
"10333",2016,"17059",0,15
"10334",2017,"17059",0,15
"10335",2018,"17059",0,15
"10336",2009,"21077",19,43
"10337",2010,"21077",28,56
"10338",2011,"21077",0,89
"10339",2012,"21077",21,20
"10340",2013,"21077",57,67
"10341",2014,"21077",103,63
"10342",2015,"21077",199,87
"10343",2016,"21077",209,58
"10344",2017,"21077",193,48
"10345",2018,"21077",217,45
"10346",2009,"30031",1460,382
"10347",2010,"30031",1457,292
"10348",2011,"30031",1503,268
"10349",2012,"30031",1547,315
"10350",2013,"30031",1517,312
"10351",2014,"30031",1717,366
"10352",2015,"30031",1765,310
"10353",2016,"30031",1889,304
"10354",2017,"30031",1847,302
"10355",2018,"30031",2070,335
"10356",2009,"39053",53,44
"10357",2010,"39053",33,31
"10358",2011,"39053",137,124
"10359",2012,"39053",143,90
"10360",2013,"39053",177,113
"10361",2014,"39053",170,125
"10362",2015,"39053",171,121
"10363",2016,"39053",128,82
"10364",2017,"39053",145,118
"10365",2018,"39053",160,123
"10366",2009,"48167",16729,1259
"10367",2010,"48167",17187,1128
"10368",2011,"48167",17392,1232
"10369",2012,"48167",17410,1421
"10370",2013,"48167",16988,1370
"10371",2014,"48167",17293,1379
"10372",2015,"48167",17634,1412
"10373",2016,"48167",17709,1389
"10374",2017,"48167",17885,1327
"10375",2018,"48167",18912,1601
"10376",2009,"31069",0,99
"10377",2010,"31069",0,99
"10378",2011,"31069",0,74
"10379",2012,"31069",0,10
"10380",2013,"31069",10,11
"10381",2014,"31069",10,12
"10382",2015,"31069",16,17
"10383",2016,"31069",58,51
"10384",2017,"31069",52,46
"10385",2018,"31069",41,51
"10386",2009,"08045",6731,574
"10387",2010,"08045",7752,642
"10388",2011,"08045",7248,653
"10389",2012,"08045",7333,701
"10390",2013,"08045",6967,588
"10391",2014,"08045",6973,545
"10392",2015,"08045",6656,669
"10393",2016,"08045",7076,643
"10394",2017,"08045",6645,535
"10395",2018,"08045",6657,622
"10396",2009,"30033",0,104
"10397",2010,"30033",0,104
"10398",2011,"30033",0,78
"10399",2012,"30033",0,10
"10400",2013,"30033",0,10
"10401",2014,"30033",0,10
"10402",2015,"30033",0,10
"10403",2016,"30033",0,10
"10404",2017,"30033",0,10
"10405",2018,"30033",0,10
"10406",2009,"31071",31,28
"10407",2010,"31071",33,30
"10408",2011,"31071",25,22
"10409",2012,"31071",9,14
"10410",2013,"31071",0,9
"10411",2014,"31071",0,9
"10412",2015,"31071",0,9
"10413",2016,"31071",0,9
"10414",2017,"31071",0,9
"10415",2018,"31071",0,9
"10416",2009,"40047",1651,318
"10417",2010,"40047",2125,340
"10418",2011,"40047",2346,389
"10419",2012,"40047",2483,362
"10420",2013,"40047",2755,386
"10421",2014,"40047",2945,375
"10422",2015,"40047",2883,396
"10423",2016,"40047",3102,568
"10424",2017,"40047",2903,449
"10425",2018,"40047",2702,513
"10426",2009,"49017",68,53
"10427",2010,"49017",51,41
"10428",2011,"49017",59,35
"10429",2012,"49017",93,46
"10430",2013,"49017",105,52
"10431",2014,"49017",128,60
"10432",2015,"49017",147,73
"10433",2016,"49017",141,77
"10434",2017,"49017",134,84
"10435",2018,"49017",164,73
"10436",2009,"53023",63,66
"10437",2010,"53023",52,73
"10438",2011,"53023",53,65
"10439",2012,"53023",5,8
"10440",2013,"53023",2,4
"10441",2014,"53023",5,6
"10442",2015,"53023",16,17
"10443",2016,"53023",21,23
"10444",2017,"53023",30,27
"10445",2018,"53023",55,37
"10446",2009,"05051",1742,364
"10447",2010,"05051",2115,373
"10448",2011,"05051",2086,328
"10449",2012,"05051",2074,394
"10450",2013,"05051",1992,417
"10451",2014,"05051",2150,441
"10452",2015,"05051",1549,346
"10453",2016,"05051",1872,348
"10454",2017,"05051",1889,370
"10455",2018,"05051",2010,367
"10456",2009,"21079",145,121
"10457",2010,"21079",181,86
"10458",2011,"21079",152,81
"10459",2012,"21079",169,76
"10460",2013,"21079",236,100
"10461",2014,"21079",185,75
"10462",2015,"21079",194,85
"10463",2016,"21079",157,80
"10464",2017,"21079",153,90
"10465",2018,"21079",150,85
"10466",2009,"24023",90,57
"10467",2010,"24023",134,66
"10468",2011,"24023",125,50
"10469",2012,"24023",189,66
"10470",2013,"24023",206,83
"10471",2014,"24023",175,93
"10472",2015,"24023",94,48
"10473",2016,"24023",78,42
"10474",2017,"24023",48,31
"10475",2018,"24023",85,43
"10476",2009,"40049",461,165
"10477",2010,"40049",525,193
"10478",2011,"40049",601,148
"10479",2012,"40049",510,159
"10480",2013,"40049",454,145
"10481",2014,"40049",498,134
"10482",2015,"40049",539,146
"10483",2016,"40049",571,135
"10484",2017,"40049",631,146
"10485",2018,"40049",649,133
"10486",2009,"48169",1547,510
"10487",2010,"48169",1758,424
"10488",2011,"48169",2229,1026
"10489",2012,"48169",2389,1008
"10490",2013,"48169",2321,990
"10491",2014,"48169",2351,921
"10492",2015,"48169",2413,1311
"10493",2016,"48169",2307,337
"10494",2017,"48169",2073,287
"10495",2018,"48169",2016,281
"10496",2009,"29073",54,48
"10497",2010,"29073",68,48
"10498",2011,"29073",30,28
"10499",2012,"29073",34,33
"10500",2013,"29073",56,34
"10501",2014,"29073",47,31
"10502",2015,"29073",50,30
"10503",2016,"29073",50,39
"10504",2017,"29073",21,21
"10505",2018,"29073",17,18
"10506",2009,"37071",5922,652
"10507",2010,"37071",6582,676
"10508",2011,"37071",6893,645
"10509",2012,"37071",7053,585
"10510",2013,"37071",7127,705
"10511",2014,"37071",7294,673
"10512",2015,"37071",7503,591
"10513",2016,"37071",6729,608
"10514",2017,"37071",6870,582
"10515",2018,"37071",6950,608
"10516",2009,"37073",8,6
"10517",2010,"37073",12,7
"10518",2011,"37073",12,9
"10519",2012,"37073",49,35
"10520",2013,"37073",80,69
"10521",2014,"37073",84,66
"10522",2015,"37073",103,83
"10523",2016,"37073",129,105
"10524",2017,"37073",90,83
"10525",2018,"37073",23,21
"10526",2009,"20061",918,276
"10527",2010,"20061",1279,351
"10528",2011,"20061",1368,350
"10529",2012,"20061",1349,431
"10530",2013,"20061",1230,376
"10531",2014,"20061",1354,390
"10532",2015,"20061",1165,297
"10533",2016,"20061",1300,299
"10534",2017,"20061",1134,316
"10535",2018,"20061",943,288
"10536",2009,"39055",809,203
"10537",2010,"39055",693,204
"10538",2011,"39055",888,231
"10539",2012,"39055",992,268
"10540",2013,"39055",860,260
"10541",2014,"39055",817,294
"10542",2015,"39055",730,270
"10543",2016,"39055",602,261
"10544",2017,"39055",654,247
"10545",2018,"39055",624,245
"10546",2009,"16045",468,133
"10547",2010,"16045",631,221
"10548",2011,"16045",548,193
"10549",2012,"16045",535,223
"10550",2013,"16045",489,193
"10551",2014,"16045",655,262
"10552",2015,"16045",341,133
"10553",2016,"16045",442,196
"10554",2017,"16045",472,190
"10555",2018,"16045",382,146
"10556",2009,"26049",4873,531
"10557",2010,"26049",4626,636
"10558",2011,"26049",4064,466
"10559",2012,"26049",4123,519
"10560",2013,"26049",3758,567
"10561",2014,"26049",3656,501
"10562",2015,"26049",3571,522
"10563",2016,"26049",3819,603
"10564",2017,"26049",3662,612
"10565",2018,"26049",3526,555
"10566",2009,"36037",612,266
"10567",2010,"36037",833,274
"10568",2011,"36037",1028,246
"10569",2012,"36037",977,228
"10570",2013,"36037",908,290
"10571",2014,"36037",751,220
"10572",2015,"36037",625,204
"10573",2016,"36037",403,88
"10574",2017,"36037",439,118
"10575",2018,"36037",539,123
"10576",2009,"01061",284,122
"10577",2010,"01061",334,135
"10578",2011,"01061",365,226
"10579",2012,"01061",470,111
"10580",2013,"01061",391,138
"10581",2014,"01061",418,140
"10582",2015,"01061",577,358
"10583",2016,"01061",335,116
"10584",2017,"01061",196,98
"10585",2018,"01061",234,86
"10586",2009,"29075",26,23
"10587",2010,"29075",31,30
"10588",2011,"29075",26,26
"10589",2012,"29075",43,28
"10590",2013,"29075",49,26
"10591",2014,"29075",51,30
"10592",2015,"29075",44,18
"10593",2016,"29075",47,18
"10594",2017,"29075",28,15
"10595",2018,"29075",52,34
"10596",2009,"28039",165,172
"10597",2010,"28039",271,171
"10598",2011,"28039",333,210
"10599",2012,"28039",342,214
"10600",2013,"28039",301,213
"10601",2014,"28039",307,162
"10602",2015,"28039",100,77
"10603",2016,"28039",118,141
"10604",2017,"28039",189,176
"10605",2018,"28039",253,146
"10606",2009,"45043",1265,304
"10607",2010,"45043",1219,239
"10608",2011,"45043",1113,269
"10609",2012,"45043",1185,284
"10610",2013,"45043",1251,236
"10611",2014,"45043",983,232
"10612",2015,"45043",844,199
"10613",2016,"45043",762,176
"10614",2017,"45043",782,156
"10615",2018,"45043",820,166
"10616",2009,"18051",144,109
"10617",2010,"18051",178,125
"10618",2011,"18051",182,129
"10619",2012,"18051",285,151
"10620",2013,"18051",245,121
"10621",2014,"18051",236,111
"10622",2015,"18051",200,91
"10623",2016,"18051",181,77
"10624",2017,"18051",380,200
"10625",2018,"18051",321,191
"10626",2009,"47053",253,92
"10627",2010,"47053",261,89
"10628",2011,"47053",263,133
"10629",2012,"47053",237,123
"10630",2013,"47053",271,123
"10631",2014,"47053",279,112
"10632",2015,"47053",291,101
"10633",2016,"47053",275,97
"10634",2017,"47053",271,98
"10635",2018,"47053",315,100
"10636",2009,"04007",1135,276
"10637",2010,"04007",1004,278
"10638",2011,"04007",1143,339
"10639",2012,"04007",1082,262
"10640",2013,"04007",840,237
"10641",2014,"04007",1132,318
"10642",2015,"04007",1123,347
"10643",2016,"04007",1162,266
"10644",2017,"04007",1136,270
"10645",2018,"04007",1132,295
"10646",2009,"12041",344,126
"10647",2010,"12041",370,120
"10648",2011,"12041",352,127
"10649",2012,"12041",376,129
"10650",2013,"12041",400,124
"10651",2014,"12041",431,119
"10652",2015,"12041",366,100
"10653",2016,"12041",293,103
"10654",2017,"12041",303,97
"10655",2018,"12041",335,103
"10656",2009,"47055",192,167
"10657",2010,"47055",231,141
"10658",2011,"47055",280,129
"10659",2012,"47055",385,140
"10660",2013,"47055",349,95
"10661",2014,"47055",423,144
"10662",2015,"47055",584,151
"10663",2016,"47055",619,168
"10664",2017,"47055",424,156
"10665",2018,"47055",460,193
"10666",2009,"51071",57,50
"10667",2010,"51071",99,77
"10668",2011,"51071",120,102
"10669",2012,"51071",166,109
"10670",2013,"51071",144,102
"10671",2014,"51071",197,125
"10672",2015,"51071",140,98
"10673",2016,"51071",72,80
"10674",2017,"51071",90,38
"10675",2018,"51071",82,32
"10676",2009,"48171",1117,258
"10677",2010,"48171",1100,279
"10678",2011,"48171",1162,330
"10679",2012,"48171",1248,370
"10680",2013,"48171",1382,449
"10681",2014,"48171",1402,535
"10682",2015,"48171",1543,528
"10683",2016,"48171",1471,513
"10684",2017,"48171",1438,375
"10685",2018,"48171",1770,425
"10686",2009,"41021",45,46
"10687",2010,"41021",94,50
"10688",2011,"41021",76,42
"10689",2012,"41021",63,41
"10690",2013,"41021",48,41
"10691",2014,"41021",41,31
"10692",2015,"41021",21,15
"10693",2016,"41021",25,20
"10694",2017,"41021",30,24
"10695",2018,"41021",39,25
"10696",2009,"13123",1614,147
"10697",2010,"13123",1384,154
"10698",2011,"13123",1379,164
"10699",2012,"13123",1250,215
"10700",2013,"13123",1322,300
"10701",2014,"13123",1228,320
"10702",2015,"13123",1328,298
"10703",2016,"13123",1566,321
"10704",2017,"13123",1577,289
"10705",2018,"13123",1610,313
"10706",2009,"54021",183,82
"10707",2010,"54021",255,101
"10708",2011,"54021",287,178
"10709",2012,"54021",278,183
"10710",2013,"54021",282,194
"10711",2014,"54021",303,201
"10712",2015,"54021",255,132
"10713",2016,"54021",195,79
"10714",2017,"54021",193,68
"10715",2018,"54021",229,104
"10716",2009,"08047",114,79
"10717",2010,"08047",114,85
"10718",2011,"08047",103,71
"10719",2012,"08047",57,62
"10720",2013,"08047",59,67
"10721",2014,"08047",60,62
"10722",2015,"08047",58,66
"10723",2016,"08047",91,76
"10724",2017,"08047",54,49
"10725",2018,"08047",35,34
"10726",2009,"30035",69,54
"10727",2010,"30035",37,43
"10728",2011,"30035",110,62
"10729",2012,"30035",130,83
"10730",2013,"30035",143,92
"10731",2014,"30035",202,107
"10732",2015,"30035",204,124
"10733",2016,"30035",141,69
"10734",2017,"30035",179,98
"10735",2018,"30035",148,69
"10736",2009,"12043",1065,238
"10737",2010,"12043",1570,329
"10738",2011,"12043",1674,316
"10739",2012,"12043",1450,305
"10740",2013,"12043",1353,309
"10741",2014,"12043",1385,324
"10742",2015,"12043",1283,267
"10743",2016,"12043",1228,297
"10744",2017,"12043",1066,309
"10745",2018,"12043",923,264
"10746",2009,"26051",135,53
"10747",2010,"26051",183,59
"10748",2011,"26051",172,56
"10749",2012,"26051",181,58
"10750",2013,"26051",190,57
"10751",2014,"26051",163,62
"10752",2015,"26051",77,31
"10753",2016,"26051",64,26
"10754",2017,"26051",60,22
"10755",2018,"26051",32,20
"10756",2009,"13125",13,19
"10757",2010,"13125",11,18
"10758",2011,"13125",9,15
"10759",2012,"13125",23,32
"10760",2013,"13125",23,21
"10761",2014,"13125",10,17
"10762",2015,"13125",17,19
"10763",2016,"13125",14,19
"10764",2017,"13125",8,11
"10765",2018,"13125",6,9
"10766",2009,"48173",101,52
"10767",2010,"48173",72,39
"10768",2011,"48173",44,31
"10769",2012,"48173",84,52
"10770",2013,"48173",95,54
"10771",2014,"48173",126,68
"10772",2015,"48173",140,66
"10773",2016,"48173",161,68
"10774",2017,"48173",236,110
"10775",2018,"48173",266,125
"10776",2009,"06021",2894,306
"10777",2010,"06021",2941,346
"10778",2011,"06021",2940,349
"10779",2012,"06021",2919,362
"10780",2013,"06021",3227,327
"10781",2014,"06021",3182,440
"10782",2015,"06021",3403,425
"10783",2016,"06021",3663,368
"10784",2017,"06021",3822,464
"10785",2018,"06021",3655,515
"10786",2009,"34015",5514,742
"10787",2010,"34015",5338,726
"10788",2011,"34015",5146,714
"10789",2012,"34015",5672,799
"10790",2013,"34015",6561,970
"10791",2014,"34015",6240,780
"10792",2015,"34015",6206,745
"10793",2016,"34015",6011,759
"10794",2017,"34015",5551,673
"10795",2018,"34015",4926,662
"10796",2009,"51073",247,127
"10797",2010,"51073",264,136
"10798",2011,"51073",214,147
"10799",2012,"51073",255,124
"10800",2013,"51073",285,181
"10801",2014,"51073",204,107
"10802",2015,"51073",227,100
"10803",2016,"51073",261,106
"10804",2017,"51073",233,110
"10805",2018,"51073",278,130
"10806",2009,"13127",2421,403
"10807",2010,"13127",2900,447
"10808",2011,"13127",2934,549
"10809",2012,"13127",2605,432
"10810",2013,"13127",2863,450
"10811",2014,"13127",2912,387
"10812",2015,"13127",2777,441
"10813",2016,"13127",2798,388
"10814",2017,"13127",2574,359
"10815",2018,"13127",2665,405
"10816",2009,"26053",119,71
"10817",2010,"26053",138,86
"10818",2011,"26053",135,168
"10819",2012,"26053",88,55
"10820",2013,"26053",28,24
"10821",2014,"26053",78,40
"10822",2015,"26053",77,40
"10823",2016,"26053",81,38
"10824",2017,"26053",75,37
"10825",2018,"26053",87,36
"10826",2009,"30037",0,104
"10827",2010,"30037",0,104
"10828",2011,"30037",0,78
"10829",2012,"30037",0,10
"10830",2013,"30037",0,10
"10831",2014,"30037",0,10
"10832",2015,"30037",0,10
"10833",2016,"30037",0,10
"10834",2017,"30037",0,10
"10835",2018,"30037",0,10
"10836",2009,"38033",0,93
"10837",2010,"38033",0,93
"10838",2011,"38033",1,2
"10839",2012,"38033",1,3
"10840",2013,"38033",1,3
"10841",2014,"38033",0,9
"10842",2015,"38033",0,9
